Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
rana mugidora,5.05,1.85,2.88,2.23,5.05,1.73
ranchero,5.95,2.01,4.32,2.52,6.04,1.8
rancho,5.91,1.41,5.3,2.87,5.68,1.8
rancio,3.37,1.34,3.5,2.32,4.22,2.76
rancio,2.38,1.72,5.16,2.42,4.07,2.42
rango,5.26,1.15,3.67,1.74,5.57,2.25
rap,5.6,1.47,4.3,2.08,4.82,2.13
rapaz,5.05,2.15,5.7,2.2,5.09,2.37
rapero,4.9,2.2,3.61,2.35,4.77,1.8
rapidito,6.64,1.99,6.29,2.33,5.77,2.43
rápido,6.08,1.53,5.16,2.47,6.18,1.92
rápido,4.57,1.66,6.45,2.16,5.24,2.57
rápido,5.55,2.18,5.05,2.56,5.68,2.21
rápido,5.9,1.12,5.1,2.59,6.16,2.27
rápido,5.83,1.58,4.88,2.1,6.24,1.96
rapsodia,6.63,1.46,4.7,2.4,5.05,1.18
rapto,5.3,2.27,4.86,3.12,4.04,2.46
raqueta,3.95,1.08,4.33,2.24,4.45,1.9
rareza,6.48,1.63,4.05,1.94,5.18,2.08
rareza,4.82,1.87,4.56,2.14,5.38,2.14
raro,6.05,1.31,5.1,2.88,5.08,2.41
rascacielos,5.84,1.54,5.33,2.46,5.25,2.4
rasgar,3.14,1.73,4.8,2.42,5.68,2.45
rasgo,5.44,1.54,3.55,1.32,5.76,2.33
rasguño,4.95,1.65,4.35,2.28,4.5,1.85
raspar,3.74,1.69,4.5,2.28,4.41,1.89
rastreador,4.87,1.39,4.59,2.52,5,2.32
rastrillo,4.75,1.59,4.22,1.91,5.24,2
rastro,4.74,1.63,2.84,2.14,5.95,1.93
rata,3.21,2.02,5.9,2.43,3.35,2.13
rata almizclera,4.15,1.9,3.5,2.18,4.32,1.49
ratero tiendas,2.26,1.41,5.59,2.5,4.86,2.32
ratón,4.8,2.04,3.38,1.94,4.29,2.16
ratón biblioteca,6.67,1.68,2.47,1.58,5.32,1.77
ratoncito,3.74,1.63,3.1,2.13,3.2,1.54
ratonera,4.82,1.89,4.05,2.36,5.5,2.22
ravioles,5.95,2.06,3.39,2.64,5.73,2.1
raya,5.24,1.14,3.67,2.08,5.21,2.04
rayas,4.81,1.81,4.38,2.48,4.86,1.25
rayita,4.37,1.34,3,1.56,3.91,1.74
rayo,5.63,1.46,6.29,2.08,4.17,2.25
rayo luna,7.17,1.69,4.52,2.82,4.82,2.33
razón,6.27,1.42,3.33,2.11,6.11,1.97
razonable,6.84,1.3,3,2.12,5.88,2.29
razonamiento,6.25,1.52,5.68,2.11,6.64,1.66
reabrir,5.75,1.16,4.14,2.37,5.68,1.97
reacción,4.68,1.63,3.95,2.11,6.3,2.27
reaccionar,5.15,1.57,5.48,1.99,6.12,2.48
reacio,3.76,1.55,3.6,2.41,5.16,2.46
reacio,3.25,1.41,4.64,1.99,4.5,2.7
reactivo,5.2,1.32,4.64,2.19,5,1.67
reactor,4.47,1.74,4.42,2.17,4.52,2.39
reagruparse,4.7,0.92,4.09,2,6.28,1.93
real,6.22,1.48,2.75,1.94,5.54,1.89
real,7.09,1.63,4.05,2.38,5.89,1.78
real,5.25,1.59,4.23,1.93,6.32,1.97
realeza,5.52,2.54,4.32,2.43,5.68,2.77
realidad,5.73,2.14,4.1,2.45,7.26,1.73
realimentación,5.91,1.72,4.17,2.5,5.58,1.89
realismo,6.24,1.95,4.28,2.32,6.11,2.02
realista,5.53,2.41,4.25,2.2,5.58,2.02
realista,5.89,1.41,4.09,2.24,6.77,1.77
realizable,5.52,2,4.24,2.02,6.65,2.16
realización,8.05,0.86,4.96,2.3,6.5,2.44
realización,6.42,2.01,3.67,2.76,5.68,2.34
realizar,6.48,1.75,5.15,2.78,5.82,2.58
Reanudar,4.4,1.64,4.55,1.87,6.63,2.06
reaprovisionar,4.84,1.98,3.27,2,4.74,1.66
reasignación,4.35,1.35,3.25,1.97,4.05,1.7
reasignar,4.75,1.02,3.67,1.83,4.94,2.59
reavivar,6.19,1.83,4.35,2.79,6.17,2.41
rebaba,4.33,1.49,2.96,2.16,4.84,2.03
rebanada,5.05,1.65,3.5,2.52,5.05,2.35
rebaño,5.25,1.07,3.48,2.18,5.38,2.58
rebeca,5.95,1.93,3.24,1.89,5.44,2.57
rebelde,4.37,1.71,5.29,2.15,5.2,2.26
rebelde,3.89,1.56,6.45,1.93,5.46,2.9
rebelión,4.79,2.1,5.09,2.58,4.83,2.39
rebobinar,5.58,1.92,4.13,2.32,5.58,1.43
rebote,5.09,1.95,4.67,2.3,5.33,2.42
rebote,4.75,1.41,5.05,2.2,4.3,2.23
rebuscar,4.95,1.81,4.1,2.85,4.85,2.13
recablear,5.67,1.46,3.73,2.37,4.9,1.8
recado,4.68,1.92,3.89,2.73,6.15,1.93
recaída,2.91,1.8,4.05,2.5,3.62,2.27
recalada,4.95,1.9,3.45,2.13,5.04,2.4
recámara,3.14,1.39,3.57,2.71,5.05,2.19
recarga,5.48,1.81,3.52,2.25,6.8,2.02
recargar,6.32,1.53,4.81,2.54,6.3,2.08
recargar,5.13,1.84,4.27,2.8,5.95,2.31
recatado,4.55,1.15,3.35,2.06,5.81,1.44
recaudación fondos,5.68,1.7,4.29,1.82,5.27,1.88
recaudación fondos,5.63,1.77,4.85,2.68,6.86,1.42
recepción,6,1.78,4.05,2.21,6.08,1.53
recepcionista,5.37,1.61,3.09,2.2,5.58,1.98
receptáculo,5.24,1.58,3.1,1.58,5.64,2.02
receptivo,6.32,1.92,3.9,2.43,5.46,2
receptor,5.39,1.61,3.26,2.18,4.8,1.47
receptor,4.9,1.34,3.89,2.14,6,1.77
receptor,5.63,1.5,3.36,2.19,6.11,1.45
recesión,2.68,1.86,4.7,2.6,3,2
receta,6.85,1.6,4.45,2.09,7.05,1.96
rechazado,2.4,1.71,4.7,2.28,2.43,1.96
rechazar,3.42,1.35,4.32,2.06,4.5,2.57
rechazar,2.95,1.75,4.78,2.02,3.46,2.04
rechazo,2.6,1.67,5.05,2.35,3.91,2.59
rechoncho,4.95,1.51,4.43,2.09,5.22,1.73
rechoncho,3.81,1.47,3.5,2.09,3.18,2.04
rechoncho,4.65,1.9,4.05,1.99,6.15,1.99
rechoncho,3.9,1.3,3.95,1.53,4.64,2.25
rechupete,7.52,1.94,4.48,2.5,6.84,2.06
recibir,7.14,1.67,4.3,2.75,6.79,2.1
recibo,5.41,1.4,4.5,2.2,5.38,2.22
reciclado,5.26,1.69,3.67,2.3,5.25,2.52
reciclaje,6.25,1.48,3.52,2.46,6.6,2.27
reciclar,6.14,1.96,3.75,2.15,6.14,2.53
recién casado,6.9,2.02,6.32,2.79,5.92,2.04
recién descubierta,5.89,1.88,3.45,2.2,6.17,1.66
recién llegado,5.8,1.4,5.05,2.63,4.58,2.12
recién nacido,7.48,1.69,4.96,2.86,4.89,2.83
reciente,5.42,1.98,3.82,2.63,4.86,1.98
recinto,4.6,0.94,3.35,2.23,4.64,2.36
recinto,4.85,1.31,3.95,2.4,4.88,2.07
recíproca,4.95,1.7,3.28,2.32,4.67,2.37
recitación,4.55,1.54,3.33,2.09,5.33,2.37
recital,4.7,1.75,4.2,2.5,5.23,1.63
recitar,5.45,1.47,3.29,2.57,5.32,1.77
Reclamación,5.15,1.46,3.9,1.81,6.06,2.28
reclamar,5.55,1.57,4.52,2.78,5.77,1.82
reclinable,6.67,1.2,2.38,2.14,5.5,1.93
reclusión,3.91,1.93,3.23,2.35,5.05,1.88
recluso,3.71,2.39,3.05,1.65,4.57,2.25
recluta,4.53,1.81,4.77,1.97,6,1.61
reclutador,5.56,1.95,4.17,1.99,4.16,1.8
reclutamiento,4.81,1.5,4,2.54,4.5,2.67
recogedor,4.67,1.75,2.86,1.74,5.36,2.26
recogedor,4.38,1.4,3.62,1.86,4.76,2.2
recoger,5.9,1.37,3.14,1.78,5.48,1.6
recoger,5.91,1.41,3.62,2.25,5.94,1.83
recoger,4.84,2.43,3.85,2.18,6.5,1.96
recomendación,6.1,2.1,3,2.02,6.22,2.24
recomendar,6.52,1.29,3.71,2,6.3,2.08
recompensa,7.47,1.35,5.58,2.74,6.33,2.25
recon,4.68,1.2,4.71,2.37,5.3,2.3
reconciliación,5.47,1.84,4.05,2.06,6.32,1.95
reconfigurar,4.85,1.63,3.52,2.06,5.4,2
reconoce,6.43,1.86,3.26,2.18,6.11,2.42
reconocer,6.14,1.93,4.2,2.33,7.11,2.23
reconocible,6.32,1.45,4.59,2.26,6.5,1.79
reconocimiento,6.53,1.5,3.3,2.3,6.71,1.82
reconocimiento,6.68,1.49,4.45,2.39,7,1.64
reconocimiento,5.52,1.6,4.21,2.15,5.32,2.64
reconquistar,4.9,2.34,5.32,2.45,5.62,2.22
reconsiderar,5.74,1.91,3.55,2.48,5.25,2.19
reconstrucción,4.79,2.07,4.86,2.61,5.91,1.85
reconstructiva,5.05,1.81,4.73,2.37,5.86,1.82
reconstruir,6.38,1.83,4.43,2.48,5.29,2.43
reconstruir,5.7,0.86,3.95,2.48,6.08,2.43
recordar,4.77,1.63,4.48,2.64,5.78,1.63
recordar,5.05,1.99,3.05,1.94,5.75,1.84
recordar,4.81,1.25,4.2,2.04,6.47,2.78
recordar pasado,6.67,1.74,4.09,2.17,6.04,2.07
recordatorio,6,1.77,3.48,2.25,6.33,1.74
recorrido,4.95,1.5,3.18,1.97,5.6,2.04
recortar,4.64,1.47,3.38,2.2,6.32,2.19
recorte,5.1,1.55,4.15,2.08,5.95,1.88
recorte,4.32,1.7,4.74,2.26,4.95,1.51
recreación,6.7,1.22,4.33,2.5,7.18,1.62
recreación,5.45,1.61,4.14,1.8,5.7,2.67
recrear,6,1.12,3.65,2.25,5.77,1.74
recreativo,6.76,1.81,4.9,2.55,6.16,1.89
recreo,6.63,2.54,5.1,2.43,6.96,1.55
recreo,6.57,1.4,4.15,2.8,5.32,2.77
rectal,2.9,1.7,4.41,2.4,4.44,1.89
rectangular,5.25,0.55,2.7,1.78,5.5,1.9
rectificar,5.6,1.57,3.57,2.02,5.81,2.16
recto,3.23,1.74,4.18,2.4,5.42,2.46
rectoría,4.14,1.08,3.91,2.5,5.05,1.58
recuerda,6.5,1.3,3.14,1.88,6.31,2.27
recuerdo,6.73,1.45,4.43,2.63,5.95,1.68
recuerdo,6.8,1.61,4.04,2.6,5.29,2.16
recuerdo,5.29,1.98,3.55,2.26,5.5,2.53
recuerdo,5.57,1.99,4.35,2.74,6.38,2.25
recuerdo,6.89,1.91,5.13,2.49,6.16,1.71
recuerdos,7,1.66,4.19,2.94,6.11,1.91
recuperación,6.43,1.86,4.12,2.28,6.37,2.19
recuperación,5.45,1.39,3.24,1.84,5.52,2.4
recuperación inversión,5.09,1.87,5.85,2.03,5.88,2.01
recuperar,6.4,1.57,4.42,2.78,5.91,1.51
recuperar,6.25,2.24,3.05,1.83,6.08,2.06
recuperar,3,1.7,4.33,2.5,4.2,2.28
recuperar,6.16,1.61,4.45,2.42,5.83,1.79
recurso,5.38,1.28,4.15,1.87,5.71,2.08
recurso,7.76,1.3,4.16,2.29,6.09,2.29
recurso,5.63,1.01,3.71,1.87,6.17,2.25
red,5,1.76,3,2.09,4.61,2.38
red,5.05,1.58,4.43,2.09,5.39,2.39
redada,3.35,1.79,5.62,2.04,3.91,2.54
redada,5.16,1.42,5.62,1.86,5.04,2.06
redención,6.33,2.37,3.68,2.23,6.44,2.26
redimir,5.95,1.65,4.2,2.46,5.35,1.93
redirigir,4.28,1.02,3.05,1.76,4.89,2.26
rediseñar,5.76,1.34,4.54,2.36,5.94,1.86
Redneck,4.4,2.16,4.5,2.28,5.05,2.29
Redondeo,4.63,1.8,4,2.41,5.5,2.32
redondo,5.89,1.75,2.5,2.24,4.78,1.9
reducción,5,0.89,3,1.88,5.25,1.94
reducir,4.5,1.93,4.08,1.95,4.73,2.39
reducir,5.1,1.59,3.67,1.83,4.92,2.26
redundancia,3.86,1.24,3.35,2.17,5.42,2.43
redundante,4.1,1.55,3.05,2.39,4.23,1.74
Reebox,5.4,2.06,2.88,2.03,4.41,1.79
reelección,5.35,1.81,4.32,2.34,5.59,2.45
reembolsar,6.24,1.81,5.29,3.09,5.85,2.3
reembolso,7,1.76,4.96,2.18,6.45,2.02
reemplazable,3.85,1.27,5.11,2.63,4,2.11
reemplazar,5.56,1.29,3.41,1.99,5.61,1.97
reemplazo,5.45,1.57,4.24,1.95,4.84,2.25
reencarnación,5.56,1.95,4.8,2.75,4.04,2.61
reentrada,4.67,1.32,3.57,2.29,6.78,1.96
reestreno,4.63,1.57,3.48,2.41,4.74,1.79
referencia,5.63,1.57,3.41,2.06,5.38,2.02
refinado,6.11,1.94,3.95,2.19,6.67,1.58
refinamiento,6.05,1.36,3.78,2.3,5.54,2.16
refinar,5.17,1.92,3.6,2.39,7.19,1.56
refinería,4.76,1.95,3.61,2.02,4.24,1.84
reflector,5.35,1.35,3.65,2.06,5.45,1.79
reflejo,5.24,1.48,4.7,2.2,4.09,2.2
reflexión,5.7,1.42,4.1,2.22,5.65,2.13
reflexionar,4.38,1.69,3.12,2.11,5.11,2.45
reflexionar,5.65,1.6,3.95,1.99,5.62,2.48
reflexionar,6.1,1.67,3.35,1.94,6.72,1.93
reflexivo,5.57,1.21,3.38,2.62,6.84,1.89
reforma,5.05,2.01,4.78,2.35,5.57,2.31
reforzamiento,5,2,4.3,2.36,5.8,1.89
reforzarse,5.53,1.5,3.96,2.33,4.94,2.48
refrenar,4.79,1.47,2.77,1.74,4.09,2.35
refrenar,4.42,1.54,4.7,1.95,4.43,2.61
refrescante,7.05,1.53,4,2.35,6.3,2.3
refrescar,6.56,1.72,4.68,2.03,7.25,1.59
refresco,6.82,1.71,4.22,2.37,6.59,1.74
refriega,4.26,1.37,4.5,2.15,4.12,2.12
refrigerador,5.76,1.34,3.25,2.4,5.82,2.48
refrigerante,5.21,2.25,3.45,2.37,5.9,1.92
refrito,4.25,1.12,3.79,2.8,5.35,2.3
refugiado,4.68,1.78,4.29,2.37,3.86,1.98
refugio,6.36,1.79,2.9,1.95,6.88,1.78
refugio,5.95,1.7,3.36,2.13,4.74,2.21
refugio subterráneo,4.55,1.85,4.08,1.55,4.95,2.46
refutación,4.42,1.39,4.6,1.85,6.13,2.38
refutar,3.9,1.79,4.3,2.1,4.1,2.68
refutar,4.37,1.07,4.55,2.16,4.96,2.46
regadera,6.11,1.91,3,1.88,6.08,2.12
regalar,6.17,2.1,5.48,2.57,4.75,2.24
regaliz,4.58,2.41,4.14,2.31,5.52,2.21
regalo,7.27,1.7,4.64,2.78,6.32,1.94
regalo promoción,7.3,1.03,6.1,2.13,6.05,1.96
regañar,2.77,1.27,4.19,2.6,4.59,2.04
regaño,4.27,1.42,4.19,2.58,4.73,2.1
regata,4.9,1.26,3.26,2.36,5.1,1.8
regatear,4.78,1.78,3.76,2.34,4.44,1.92
regeneración,6,1.27,5,2.26,6.35,1.76
regenerar,5.76,1.45,4.65,1.93,5.95,2.04
reggae,5.19,2.68,5,2.04,6.24,2.39
régimen,4.17,1.34,3.89,2.54,4.56,2.48
régimen,5.32,1.45,3.71,1.87,5.6,2.41
regimiento,5.16,2.03,3,2.02,5.83,2.04
regio,5.9,1.55,3.25,1.83,4.38,2.78
región,5.21,0.63,3.24,1.7,6.04,2.1
región apartada,5,2.08,2.57,2.01,5.21,2.6
regional,4.95,1.23,4.95,2.5,5.08,2.02
registrador,5.37,1.95,3.27,2.29,4.79,1.87
registro,5.89,1.57,3.3,2.3,5.5,2.31
registro,4.79,1.96,3.09,2.41,5.32,1.93
registro,4.68,1.38,3.52,2.27,6.05,1.94
regla,4.5,2.18,3.67,2.24,3.61,2.68
regla,5,1.75,4.47,2.14,6.62,2.16
regocijado,6.9,1.55,6.55,2.39,6.51,2.05
regocijarse,7.14,1.98,5.56,2.57,7.68,1.29
regordete,4.33,1.81,4.88,2.83,5.11,2.04
regresión,3.48,1.5,3.74,1.94,4.4,1.91
regreso,5.95,0.95,3.29,1.95,5.71,1.83
regreso a casa,6.95,1.66,4.14,2.52,5.85,2.13
regulación,4.15,1.95,3.45,1.92,4.24,2.14
regulador,4.9,1.71,3.79,2.04,5.69,2.22
regular,6.09,1.66,3.65,2.48,6.74,2.02
regular,5.16,1.61,3.95,2.24,5.59,2.7
rehabilitación,3.19,1.57,4.38,2.35,5.17,2.53
rehabilitación,5.24,2.36,4.24,2.5,5.26,2.66
rehabilitar,6.32,1.7,4.67,2.39,4.86,2.23
rehacer,4.68,1.86,4.85,2.28,4.3,2.23
rehén,2.74,1.61,5.73,2.35,2.74,2.08
rehuir,2.42,1.3,4.04,2.33,4.63,1.83
reina,6.52,1.97,5.05,2.21,6.04,2.63
reinar,5.4,1.64,4.17,2.28,5.59,2.09
reinar,5.25,1.41,4.3,1.99,5.57,2.42
Reiniciar,4.65,1.27,3.17,2.23,5.86,2.23
reinicio,5.38,2.27,5.1,2.45,5.72,2.21
reino,6.74,2.13,4.2,2.42,6.75,2.22
reino,5.39,1.64,4,2.14,5.65,2.28
reintegrar,5.11,1.79,3.33,1.96,5.25,1.86
reír,7.56,2.64,6.62,1.91,7.39,1.54
reiterar,4.9,1.73,3.62,1.96,6.2,1.99
relación,5.84,1.68,4.36,2.28,5.75,1.57
relación,7.83,1.38,5,3.16,5.83,2.23
relacionar,6.05,1.8,3.64,2.23,6,1.7
relajación,8,1.54,3.15,2.32,7.12,1.45
relajado,7.25,1.92,2.49,2.51,7.09,2.03
relajante,8.19,0.93,4.29,3.07,7.33,1.56
relajarse,5.9,1.89,3.62,1.94,5.56,2.35
Relájese,7.82,2.04,2.38,2.13,6.94,2.15
relamerse,3.68,1.11,3.75,2.36,6.1,2
relámpago,5.34,1.79,6.75,1.59,4,2.39
relatividad,5.8,2.02,3.38,1.99,5.28,2.23
relé,4.86,1.82,4.25,2,5.81,1.72
releer,5.18,1.71,3.68,2.32,5.4,2.28
religión,5.42,3.08,5,2.68,4.42,2.43
religioso,5.2,2.19,4.63,2.95,6.23,2.3
reliquia,6,1.25,4,2.37,5.7,2.27
reliquia familia,6.35,1.09,4.55,2.48,6.62,2.33
relleno,4.9,1.81,3.89,2.18,5.85,1.98
relleno,5.25,2.02,2.76,2.17,4.88,2.26
reloj,5.65,1.59,3.35,2.46,5.24,2.71
reloj arena,5.61,1.88,3.1,1.89,4.55,2.42
reloj pulsera,5.63,2.01,3.75,2.63,5.12,2.4
reloj sol,5.95,1.39,3.22,2.16,5.19,2.69
reluciente,6.22,1.52,4.95,2.78,5.2,1.7
reluciente,6.81,1.25,4.33,2.39,5.35,1.73
relucir,6.5,1.67,5.28,2.3,6,2.49
remachado,5.95,1.65,4.88,2.03,5.47,2.12
remanso,4.33,1.93,3.84,2.37,5,2.24
remediador,4.05,2.2,3.4,2.14,4.5,2.63
remedio,6.62,1.72,4.33,2.18,6.82,2.22
remilgado,3.95,1.93,4.09,2.22,5.7,2.37
reminiscencia,6.11,1.33,3.62,2.04,6.04,2.18
remisión,5.52,1.4,4.52,1.94,5.64,2.26
remisión,5.19,2.23,3.65,2.27,4.1,2
remiso,4.29,1.06,3,2.17,5.4,1.9
remitente,6.43,1.25,3.24,1.81,5.45,2.19
remitir,5.18,1.1,4.09,2.76,5.58,1.74
remo,5.15,1.79,2.72,1.6,6.38,2.46
remo,5.42,1.84,3.77,2.16,5.87,1.74
remodelar,5.59,1.82,3.95,2.5,6.45,2.26
remojar,6.05,1.53,3,2.28,5.6,2.16
remolcador,4.47,1.31,4,1.9,5.1,2.34
remolcador,5.57,1.16,3.05,2.08,5.15,2.28
remolino,6.45,1.39,4.58,2.93,5.12,2.23
remolque,5.38,1.83,3.75,2.27,5.33,2.08
remolque,4.44,1.69,2.85,1.63,5.16,1.55
remontarse,6.6,1.7,5.14,2.23,6.11,1.94
remordimiento,3.63,2.14,4.29,2.17,4.57,2.61
remoto,5.42,1.61,3.5,2.16,5.54,2.48
removedor,4.67,0.86,3,2.24,5.42,2.46
remover,5.35,1.42,3.05,2.04,6.71,2.31
renacer,5.59,1.59,4.89,1.76,5.3,2.43
renacimiento,6.3,2.03,4.52,2.34,5.79,2.43
renacimiento,6.38,1.72,4.31,2.26,5.42,2.47
renacuajo,6,2.02,4.17,1.88,5.32,2.64
renal,4,1.33,3.77,2.94,4.42,2.04
rencor,2.86,1.46,4.2,2.67,5.18,2.44
Rendición,3.73,1.91,4.58,2.06,3.88,2.72
rendición cuentas,4.89,1.94,3.7,2.27,6.55,2.46
rendimiento,5.19,1.94,3.85,2.43,5.06,2.34
renegado,4.53,1.9,4.86,2.83,5.53,2.17
renegociar,5.9,1.52,3.7,2.03,5.42,2.1
reno,6.62,1.53,3.59,2.13,5.5,1.85
renombrado,6,1.37,3.25,2.1,5.24,1.94
renombre,5.83,1.38,2.95,1.96,5.83,1.95
renovación,5.86,1.98,5.23,2.29,6.14,2.24
renovación,5.63,1.21,4.67,2.59,6.05,1.54
renovar,6.24,2.12,3,2.13,6.33,2.57
renovar,6,1.49,4.14,2.29,6.44,1.93
rentable,6.5,1.25,5.61,2.59,5.76,1.99
renuencia,4.05,1.47,4.42,2.45,4.32,2.07
renuncia,4.19,1.75,4.7,2.64,5.19,2.68
renuncia,5.6,1.6,2.95,2.17,5.46,2.58
renunciar,4.89,2,4.33,2.26,5.32,2.23
renunciar,3.74,1.69,4.5,1.99,4.42,2.3
renunciar,4.26,1.69,4.95,2.11,5.13,2.26
renunciar,5.53,1.39,3.14,2.4,4.96,1.86
reordenar,5.52,1.29,3.19,1.89,6.41,2.29
reorganizar,5.67,1.77,4.16,2.54,6.22,2.24
rep,4.86,1.98,3.95,2.87,5.2,2.18
reparación,4.89,1.37,3.38,2.18,5.78,2.35
reparador,5,1.86,3.83,2.28,5.18,2.08
repartidor periódicos,5.41,1.65,3.19,2.18,5.32,1.91
repelente,4.73,2.19,4.65,2.12,5.37,2.09
repeler,3.67,1.96,4.43,2.25,4.75,2.45
repensar,5.33,1.41,3.53,2.48,5.88,1.94
repertorio,5.47,1.98,3.27,1.93,5.96,1.76
repetición,4.64,1.22,4.24,2.84,5,2.73
repetición,5.74,1.73,4.05,2.21,5.47,2.14
repetir,4.64,1.71,3.7,2.23,6.21,2.46
repetitivo,4.05,1.65,3.91,2.64,4.89,2.37
repintar,4.62,2.16,3.35,2.3,6.18,2.58
repisa,5.24,1.41,4.95,2.17,4.36,1.87
repisa,4.74,1.85,2.93,2.03,5.28,2.26
replanteo,4.43,1.4,5.9,2.27,6.24,1.81
réplica,5.4,1.1,3.5,1.64,4.86,1.32
replicar,4.95,0.71,3.9,2.12,5.96,1.9
repollo,4.6,1.96,2.91,1.95,5.93,2.37
reponer,6.9,1.45,3.5,2.06,6.36,1.93
reportero,4.57,1.83,3.17,2.19,5.17,2.62
reposicionar,5.05,1.28,3.6,2.54,4.55,2.18
reposo,5,1.6,2.48,1.54,5.68,2.06
repostar,5.5,1.63,4.84,2.06,6.75,1.48
reprensible,4.43,2.23,3.96,2.14,3.5,1.85
represalias,3,1.37,5.17,2.66,5.43,2.28
representación,4.86,2.23,4.36,2.5,5.8,2.53
representante,5.26,1.94,3.73,2.39,6.05,1.96
representante ley,4.79,1.99,4.14,2.25,4.38,2.06
representar,4.74,1.33,3.88,1.96,5.71,2.02
representar,5.43,1.12,3.86,1.77,6.12,2.47
Representativo,4.32,1.7,4.23,2.72,4.68,2.24
represión,2.81,1.57,4.15,2.68,4.14,2.14
reprimenda,2.67,1.24,4.86,2.35,3.32,2.25
reprimido,3.47,1.78,3.24,2.23,4.35,2.44
reproche,5.26,2.1,4.3,2.46,5.11,1.66
reproducción,5.76,1.09,3.36,1.79,6.14,1.82
reproducción,6.67,1.53,4.71,2.65,5.45,2.04
reproducir,5.63,1.64,4.61,2.03,4.88,2.5
reproductivo,5.68,2.19,4.83,2.06,4.74,1.85
reprogramar,5.52,1.21,3.71,2.91,6,2.49
reprogramar,3.72,1.96,2.95,2.46,4.79,2.36
reptil,4.58,2.41,5.89,2.4,4.55,2.24
república,4.8,1.4,3.48,2.23,5.16,2.53
republicano,4.26,2.02,3.11,1.84,5.4,3
repudiar,2.29,1.06,4.54,2.4,3.64,2.74
repuesto,5.57,1.29,4.45,2.42,5.63,2.41
repugnante,2.89,1.7,4.45,2.54,3.57,1.85
repugnante,2.95,2.14,5.44,2.23,3.98,2.06
repugnante,2.83,1.62,3.64,2.56,4.04,2.2
repugnante,2.47,1.9,5.9,2.13,3.95,2.37
repulsivo,3.53,1.98,4.36,2.59,3.83,2.59
repulsivo,1.95,1.2,5.12,2.13,3.59,2.56
reputación,5.63,1.74,5,1.95,5.58,1.93
reputado,4.9,1.59,3.68,2.38,5.52,2.1
requisar,4.43,1.86,4.45,2.44,5.74,2.7
requisición,4.71,1.79,4.5,1.79,5.48,2.36
requisito,5.1,1.09,3.27,2.27,4.3,2.33
res muerta,2.85,1.8,4.85,2.66,4.42,1.57
resaca,2.5,2.01,6,2.62,4.31,2.81
resaca,4.05,1.15,4.46,2.32,3.89,2.35
resbaladizo,4.38,1.36,5.35,2.4,4,2.3
resbalón,4.33,1.28,4.7,2.03,3.81,1.92
rescate,2.32,1.42,4.45,2.34,2.43,1.47
rescate,7.04,1.65,5,2.54,5.94,2.27
rescindir,3.81,1.63,3.87,2.1,4.81,1.94
reseña,5.09,1.06,3.77,2.05,6.04,2.08
resentido,3,1.87,4.35,2.67,4.12,2.67
resentimiento,3,1.89,5.19,2.46,4.05,2.38
resentirse de,3.28,1.73,4.05,2.36,4.21,2.19
reserva,5,0.82,4.24,2.1,5,2.35
reserva,6.14,1.31,4.16,2.87,5.56,2.27
reserva,5.53,2.44,4.55,2.2,5.5,1.91
reservado,5.63,1.65,2.79,1.7,5.39,2.33
reservado,4.15,1.35,5.73,2.21,5.81,2.44
residencia,6.74,1.73,3.17,2.33,5,2.17
residencia,5.37,1.61,3.43,1.63,5.96,1.85
residencia universitaria,5.16,1.95,4.29,1.93,5.13,1.6
Residencial,6.05,1.58,3.27,1.93,5.82,2.02
residir,5.57,1.33,3.43,2.04,5.69,2.02
residual,5.09,1.19,3.19,2.27,4.23,1.6
residuo,3.95,1,3.39,1.91,4.5,1.71
residuos,2.61,1.38,4.04,2.27,4.58,1.89
resina,4.84,2.01,3.68,2.67,4.8,2.55
resistencia,6.86,1.42,5.6,2.46,6.03,2.16
resistencia,3.74,1.48,5.23,2.2,3.92,2.19
resistente,5.71,2.17,4.65,2.31,5.52,2.4
resistente,3.86,1.21,4,2.48,4.75,2.47
resistir,3.95,1.43,3.6,2.42,6.11,2.38
resistir,5.95,1.94,4.21,2.21,6.59,2.26
resolución,6,1.8,3.7,2.03,6.42,1.84
resolver,5.85,1.95,2.65,1.77,6.92,1.89
resolver,5.62,1.8,3.4,1.88,6.16,2.61
resolver,6.3,2,4.35,2.52,6.67,1.98
resonancia,5.9,1.45,4.45,2.22,5.43,1.33
resoplando,4.06,1.59,4.53,2.29,5.08,1.38
respectivo,5.9,1.79,3.76,2.21,6.42,1.69
respecto,5.7,1.49,3.39,1.97,6.38,1.6
respetabilidad,6.26,1.73,4.24,2.05,6.41,1.91
respetable,6.55,1.93,4.05,2.18,7.3,1.78
respetable,6.05,2.03,3.3,2.36,6.95,2.37
respetar,5.52,1.75,3.26,2.22,5.33,2.83
respeto,6.79,1.72,4.79,2.62,7.26,1.73
respetuoso,7.45,1.26,3.32,2.34,6.74,2.18
respetuosos,5.57,1.75,3.59,2.26,6.6,2.3
respiración,6.14,1.81,4.29,2.53,5.91,2.14
respiradero,5,1.59,4.06,2.18,6,2
respirador,3.11,2.13,3.73,2.43,2.93,2.18
respirar,7.17,1.69,2.6,2.19,6.22,2.67
respiratorio,4.45,1.18,3.77,2,5.75,2.29
